127.0.0.1 - - [19/Sep/2021:11:15:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Sep/2021:11:15:51 +0900] "GET /css/NewFile.html HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [19/Sep/2021:11:15:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:11:16:25 +0900] "GET /css/NewFile.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [19/Sep/2021:11:16:58 +0900] "GET /css/NewFile.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [19/Sep/2021:11:34:58 +0900] "GET /css/practice06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:11:34:58 +0900] "GET /css/img/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:11:34:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:11:34:59 +0900] "GET /css/img/spade-7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:36:53 +0900] "GET /css/NewFile.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:36:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:37:27 +0900] "GET /css/NewFile.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:37:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:37:40 +0900] "GET /css/NewFile.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:37:47 +0900] "GET /css/NewFile.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:37:57 +0900] "GET /css/NewFile.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:38:13 +0900] "GET /css/NewFile.html HTTP/1.1" 200 397
