127.0.0.1 - - [13/Oct/2021:09:55:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:55:42 +0900] "GET /jQuery/02_jQueryEvent/exam08.html HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:55:42 +0900] "GET /jQuery/css/event.css HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:55:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:00:29 +0900] "GET /jQuery/02_jQueryEvent/exam08.html HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:00:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:05:00 +0900] "GET /jQuery/02_jQueryEvent/exam09.html HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:05:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:12:33 +0900] "GET /jQuery/02_jQueryEvent/exam09.html HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:12:41 +0900] "GET /jQuery/02_jQueryEvent/exam09.html HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:12:42 +0900] "GET /jQuery/css/event.css HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:12:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:13:41 +0900] "GET /jQuery/02_jQueryEvent/exam09.html HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:26:22 +0900] "GET /jQuery/02_jQueryEvent/exam10.html HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:26:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:26:37 +0900] "GET /jQuery/02_jQueryEvent/form_ok.html?user_name=kakao HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:53:32 +0900] "GET /jQuery/02_jQueryEvent/exam11.html HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [13/Oct/2021:10:53:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2021:11:06:37 +0900] "GET /jQuery/02_jQueryEvent/exam12.html HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [13/Oct/2021:11:06:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
